DASS	DATE	TMAX	TMIN	TMEAN	PREC	WIND	RHUM
19610101	1961.002738	1	-3.4	-2	0	1.7	89
19610102	1961.005476	-1.2	-2.4	-1.9	0	3	89
19610103	1961.008214	1	-2.6	0.1	0	2.7	82
19610104	1961.010951	2.1	-2	-0.3	0	3.3	88
19610105	1961.013689	2.8	-4.3	0.4	0	6.3	86
19610106	1961.016427	2.8	-4.5	-0.3	0	2.7	72
19610107	1961.019165	2.2	-2.6	0.8	0.6	4.7	83
19610108	1961.021903	1.8	-1	1	0	4.7	85
19610109	1961.024641	3.7	-0.6	1.3	0.2	5.3	85
19610110	1961.027379	2.9	-2.6	0.9	0	2.3	78
19610111	1961.030116	1.4	-1.3	-0.1	0	3	85
19610112	1961.032854	-0.3	-6.7	-5.3	0	1.7	79
19610113	1961.035592	-1	-8.6	-3.3	0	1.7	74
19610114	1961.03833	2	-3.6	-1.5	0.7	1.3	79
19610115	1961.041068	0.4	-5.8	-2.4	0	2	91
19610116	1961.043806	-3.9	-7	-5.6	0	1	93
19610117	1961.046543	-2	-7.6	-5.4	0	3.7	86
19610118	1961.049281	-5	-12.6	-8.4	0	2.7	60
19610119	1961.052019	-4.8	-15.5	-9.5	0	1.3	70
19610120	1961.054757	-3	-13.5	-8.8	0	0.7	69
19610121	1961.057495	-3.1	-11	-4.2	0	0.7	76
19610122	1961.060233	-0.1	-3.9	-2.4	0.1	1.3	84
19610123	1961.062971	-1.5	-5.2	-3.4	1.2	1	89
19610124	1961.065708	-2	-4.5	-3.9	0.1	2.3	91
19610125	1961.068446	-4.2	-9.3	-7.4	0	3	75
19610126	1961.071184	-6.5	-14.7	-9.8	0	1	59
19610127	1961.073922	-2.4	-16.4	-10.3	0	1	66
19610128	1961.07666	-4.2	-14.9	-9	0	1.3	73
19610129	1961.079398	6.7	-10.9	0.7	0	4	76
19610130	1961.082136	6.5	0.1	4.7	1.6	6.3	71
19610131	1961.084873	9.6	1.5	4.7	3.7	7.3	88
19610201	1961.087611	2.8	0.2	1.3	3.6	5.7	87
19610202	1961.090349	3	-0.4	1.2	0.6	3.3	84
19610203	1961.093087	3.5	-1.2	0.5	0	4	81
19610204	1961.095825	3.2	-2	0.7	1.1	4.7	79
19610205	1961.098563	0.5	-7.9	-3.3	0	6.7	83
19610206	1961.1013	2.1	-8	0.6	0.6	3.3	82
19610207	1961.104038	6.2	0.1	3.1	0.5	7	81
