TIME	MONTH	TEMP	CO2eq	SOLAR	VOLCANIC	SO	NAO	AMO
1866.041667	1	0.281	291.104	1365.4119	0.002525	-0.62	2.06	0.053908
1866.125	2	-1.197	291.104	1365.4119	0.002317	-0.12	0.7	0.053908
1866.208333	3	-1.168	291.104	1365.4119	0.002142	-0.62	-2.1	0.053908
1866.291667	4	-0.445	291.104	1365.4119	0.001967	-0.65	-0.88	0.053908
1866.375	5	-0.278	291.104	1365.4119	0.001817	0.04	-1.54	0.053908
1866.458333	6	-0.437	291.104	1365.4119	0.00165	-0.82	-0.18	0.053908
1866.541667	7	0.184	291.104	1365.4119	0.001525	-0.34	0.29	0.053908
1866.625	8	-0.222	291.104	1365.4119	0.001408	0.36	0.77	0.053908
1866.708333	9	-0.319	291.104	1365.4119	0.001292	-0.18	1.52	0.053908
1866.791667	10	-0.876	291.104	1365.4119	0.000233	0.07	-0.03	0.053908
1866.875	11	-0.369	291.104	1365.4119	0	1.1	1.01	0.053908
1866.958333	12	0.345	291.104	1365.4119	0	-0.16	2.14	0.053908
1867.041667	1	-0.275	291.27	1365.3597	0	0.09	-2.17	0.083142
1867.125	2	-0.603	291.27	1365.3597	0	-0.01	3.63	0.083142
1867.208333	3	-1.065	291.27	1365.3597	0	-0.09	-3.03	0.083142
1867.291667	4	-0.178	291.27	1365.3597	0	0.83	3.08	0.083142
1867.375	5	-0.674	291.27	1365.3597	0	0.5	-2.35	0.083142
1867.458333	6	-0.108	291.27	1365.3597	0	-0.48	-1.2	0.083142
1867.541667	7	-0.147	291.27	1365.3597	0	0.44	-1.77	0.083142
1867.625	8	-0.228	291.27	1365.3597	0	0.34	3.1	0.083142
1867.708333	9	-0.125	291.27	1365.3597	0	0.12	1.13	0.083142
1867.791667	10	-0.2	291.27	1365.3597	0	-0.56	0.73	0.083142
1867.875	11	0.524	291.27	1365.3597	0	-0.65	-1.51	0.083142
1867.958333	12	0.176	291.27	1365.3597	0	-0.89	-0.55	0.083142
1868.041667	1	-0.608	291.461	1365.5194	0	-0.16	1.46	0.099508
1868.125	2	-1.156	291.461	1365.5194	0	-0.34	3.95	0.099508
1868.208333	3	-0.928	291.461	1365.5194	0	-1.56	2.94	0.099508
